,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
2155,25:14.6,GPS,65785342,0,6,156332600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
2504,25:14.8,GPS,65985262,0,6,156332800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
2857,25:15.0,GPS,66185182,0,6,156333000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
3203,25:15.2,GPS,66385102,0,6,156333200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
3557,25:15.4,GPS,66585022,0,6,156333400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
3881,25:15.6,GPS,66764950,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
3910,25:15.6,GPS,66784942,0,6,156333600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
4259,25:15.8,GPS,66984862,0,6,156333800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
4610,25:16.0,GPS,67184782,0,6,156334000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
4960,25:16.2,GPS,67384702,0,6,156334200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
5316,25:16.4,GPS,67584622,0,6,156334400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
5667,25:16.6,GPS,67785375,0,6,156334600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
6016,25:16.8,GPS,67985295,0,6,156334800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
6368,25:17.0,GPS,68185215,0,6,156335000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
6717,25:17.2,GPS,68385135,0,6,156335200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
7071,25:17.4,GPS,68585055,0,6,156335400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
7423,25:17.6,GPS,68784975,0,6,156335600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
7771,25:17.8,GPS,68984895,0,6,156335800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
8123,25:18.0,GPS,69184815,0,6,156336000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
8479,25:18.2,GPS,69384735,0,6,156336200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
8844,25:18.4,GPS,69584655,0,6,156336400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
9205,25:18.6,GPS,69785408,0,6,156336600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
9565,25:18.8,GPS,69985328,0,6,156336800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
9926,25:19.0,GPS,70185248,0,6,156337000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
10285,25:19.2,GPS,70385168,0,6,156337200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
10651,25:19.4,GPS,70585088,0,6,156337400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
10986,25:19.6,GPS,70765016,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
11014,25:19.6,GPS,70785008,0,6,156337600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
11373,25:19.8,GPS,70984928,0,6,156337800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
11734,25:20.0,GPS,71184848,0,6,156338000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
12095,25:20.2,GPS,71384768,0,6,156338200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
12461,25:20.4,GPS,71584688,0,6,156338400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
