,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1933,25:14.5,IMU,65645398,0,0.000902184,0.000975665,0.000909117,-0.000436771,-0.001627776,-9.817502,0,0,28.82777,1,1,1000,1000
1934,25:14.5,IMU,65645398,1,0.001198883,0.001035904,0.001015485,-0.000465833,-0.000452171,-9.818029,0,0,28.82772,1,1,760,800
1984,25:14.5,IMU,65685382,0,0.000904584,0.000928657,0.000890461,-0.001618373,-0.000186698,-9.818495,0,0,28.82993,1,1,1000,1000
1985,25:14.5,IMU,65685382,1,0.000606843,0.000779647,0.000975187,-0.002940248,-0.002220477,-9.816321,0,0,28.82987,1,1,760,800
2037,25:14.5,IMU,65725366,0,0.000971583,0.000861597,0.000970166,-0.001149017,-0.001069156,-9.817202,0,0,28.83208,1,1,1000,1000
2038,25:14.5,IMU,65725366,1,0.000935355,0.000845488,0.00114542,-0.001560554,0.00167848,-9.817427,0,0,28.83203,1,1,760,800
2129,25:14.6,IMU,65765350,0,0.000925967,0.000944257,0.000899552,-0.001437568,-0.000952442,-9.817449,0,0,28.83424,1,1,1000,1000
2130,25:14.6,IMU,65765350,1,0.000958318,0.000832891,0.00121185,-0.002562559,-0.000996522,-9.817451,0,0,28.83418,1,1,760,800
2184,25:14.6,IMU,65805334,0,0.0008955,0.000980963,0.000883906,-0.000910965,-3.30E-05,-9.81712,0,0,28.83639,1,1,1000,1000
2185,25:14.6,IMU,65805334,1,0.001006317,0.001106041,0.000947671,-8.00E-05,-0.002961921,-9.816935,0,0,28.83634,1,1,760,800
2279,25:14.7,IMU,65845318,0,0.000876665,0.000978286,0.000952609,-0.000705211,-0.000837516,-9.816685,0,0,28.83855,1,1,1000,1000
2280,25:14.7,IMU,65845318,1,0.000902491,0.001065464,0.000904927,-0.000165544,-0.002108586,-9.816672,0,0,28.83849,1,1,760,800
2330,25:14.7,IMU,65885302,0,0.000873022,0.000827752,0.000865102,-0.001089746,-0.000308899,-9.817474,0,0,28.8407,1,1,1000,1000
2331,25:14.7,IMU,65885302,1,0.001008012,0.000883261,0.001186297,-0.002622883,-0.000439161,-9.81883,0,0,28.84065,1,1,760,800
2383,25:14.7,IMU,65925286,0,0.000963064,0.000905737,0.00092607,-0.000537458,-0.000990348,-9.817886,0,0,28.84286,1,1,1000,1000
2384,25:14.7,IMU,65925286,1,0.00098161,0.000913176,0.000736879,-0.000787638,0.000198284,-9.815667,0,0,28.8428,1,1,760,800
2478,25:14.8,IMU,65965270,0,0.000911941,0.000932544,0.000914381,-0.000341218,-0.001482163,-9.817921,0,0,28.84501,1,1,1000,1000
2479,25:14.8,IMU,65965270,1,0.000977512,0.000669053,0.001126448,-0.000882849,-0.002746576,-9.817742,0,0,28.84496,1,1,760,800
2533,25:14.8,IMU,66005254,0,0.000941995,0.000912577,0.000844596,-0.001003407,-0.001475006,-9.816901,0,0,28.84716,1,1,1000,1000
2534,25:14.8,IMU,66005254,1,0.000816186,0.001029946,0.000775052,0.000771193,0.001172542,-9.816557,0,0,28.84711,1,1,760,800
2630,25:14.9,IMU,66045238,0,0.000823371,0.000955193,0.000926626,-0.00165078,-0.000249336,-9.817495,0,0,28.84932,1,1,1000,1000
2631,25:14.9,IMU,66045238,1,0.00104323,0.000799902,0.000781385,-0.001968898,-0.002251589,-9.816801,0,0,28.84926,1,1,760,800
2681,25:14.9,IMU,66085222,0,0.000908404,0.000949732,0.000912432,-0.001278298,-0.002614901,-9.818682,0,0,28.85142,1,1,1000,1000
2682,25:14.9,IMU,66085222,1,0.000870503,0.000895036,0.000942226,0.001591114,-0.002316823,-9.818,0,0,28.85142,1,1,760,800
2734,25:14.9,IMU,66125206,0,0.000943338,0.000859227,0.000908264,-0.00044483,-0.000974012,-9.816919,0,0,28.85357,1,1,1000,1000
2735,25:14.9,IMU,66125206,1,0.000931011,0.000779888,0.001020729,-0.001730022,-0.001528524,-9.816723,0,0,28.85357,1,1,760,800
2831,25:15.0,IMU,66165190,0,0.00088483,0.000951348,0.000962599,-0.001028489,-0.001514926,-9.817533,0,0,28.85572,1,1,1000,1000
2832,25:15.0,IMU,66165190,1,0.00098886,0.000602185,0.000744077,-0.00159559,0.00026676,-9.821097,0,0,28.85572,1,1,760,800
2886,25:15.0,IMU,66205174,0,0.000919382,0.000961355,0.000942773,-0.001257391,-0.000762869,-9.818627,0,0,28.85788,1,1,1000,1000
2887,25:15.0,IMU,66205174,1,0.000869368,0.00085746,0.000974924,-0.001919845,0.001234117,-9.815004,0,0,28.85788,1,1,760,800
2980,25:15.1,IMU,66245158,0,0.000925263,0.000920739,0.000996372,-0.000421381,-0.001326644,-9.817919,0,0,28.86003,1,1,1000,1000
2981,25:15.1,IMU,66245158,1,0.001008912,0.000843634,0.000965459,5.206492E-05,-9.07E-05,-9.816121,0,0,28.86003,1,1,760,800
3030,25:15.1,IMU,66285142,0,0.000906544,0.000916059,0.000971443,-0.001373877,-0.001206823,-9.817187,0,0,28.86218,1,1,1000,1000
3031,25:15.1,IMU,66285142,1,0.000954761,0.000905906,0.000732898,6.988859E-05,-0.00256401,-9.817173,0,0,28.86218,1,1,760,800
3083,25:15.1,IMU,66325126,0,0.000904956,0.000927027,0.000945421,-0.001085606,-0.000479439,-9.817383,0,0,28.86433,1,1,1000,1000
3084,25:15.1,IMU,66325126,1,0.001066752,0.000955448,0.000935439,-0.001629574,0.000283225,-9.818277,0,0,28.86433,1,1,760,800
3177,25:15.2,IMU,66365110,0,0.000956297,0.000933141,0.000876877,-0.000803149,-0.001727389,-9.817407,0,0,28.86648,1,1,1000,1000
3178,25:15.2,IMU,66365110,1,0.000993269,0.000984338,0.000930928,-0.00128921,-0.000372466,-9.81913,0,0,28.86648,1,1,760,800
3231,25:15.2,IMU,66405094,0,0.000993221,0.000924747,0.000939896,-0.000792131,-0.000937562,-9.817413,0,0,28.86863,1,1,1000,1000
3232,25:15.2,IMU,66405094,1,0.001196026,0.000813952,0.00090833,-0.001162469,-0.001389479,-9.816682,0,0,28.86863,1,1,760,800
3327,25:15.3,IMU,66445078,0,0.000912949,0.00090468,0.0009508,-0.00042122,-0.002078401,-9.817936,0,0,28.87078,1,1,1000,1000
3328,25:15.3,IMU,66445078,1,0.001016438,0.001030814,0.000799738,-0.001901997,-0.001347913,-9.815113,0,0,28.87078,1,1,760,800
3380,25:15.3,IMU,66485062,0,0.000933598,0.000905182,0.000893694,-0.001897303,-0.000886485,-9.817626,0,0,28.87299,1,1,1000,1000
3381,25:15.3,IMU,66485062,1,0.00085157,0.00073062,0.000799758,-0.001832595,-0.002482201,-9.816237,0,0,28.87299,1,1,760,800
3433,25:15.3,IMU,66525046,0,0.000928858,0.000874157,0.000939286,-0.001218908,-0.001526948,-9.817975,0,0,28.87514,1,1,1000,1000
