Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1933,25:14.5,IMU,65645398,0,0.000902184,0.000975665,0.000909117,-0.000436771,-0.001627776,-9.817502,0,0,28.82777,1,1,1000,1000
1984,25:14.5,IMU,65685382,0,0.000904584,0.000928657,0.000890461,-0.001618373,-0.000186698,-9.818495,0,0,28.82993,1,1,1000,1000
2037,25:14.5,IMU,65725366,0,0.000971583,0.000861597,0.000970166,-0.001149017,-0.001069156,-9.817202,0,0,28.83208,1,1,1000,1000
2129,25:14.6,IMU,65765350,0,0.000925967,0.000944257,0.000899552,-0.001437568,-0.000952442,-9.817449,0,0,28.83424,1,1,1000,1000
2184,25:14.6,IMU,65805334,0,0.0008955,0.000980963,0.000883906,-0.000910965,-3.3e-05,-9.81712,0,0,28.83639,1,1,1000,1000
2279,25:14.7,IMU,65845318,0,0.000876665,0.000978286,0.000952609,-0.000705211,-0.000837516,-9.816685,0,0,28.83855,1,1,1000,1000
2330,25:14.7,IMU,65885302,0,0.000873022,0.000827752,0.000865102,-0.001089746,-0.000308899,-9.817474,0,0,28.8407,1,1,1000,1000
2383,25:14.7,IMU,65925286,0,0.000963064,0.000905737,0.00092607,-0.000537458,-0.000990348,-9.817886,0,0,28.84286,1,1,1000,1000
2478,25:14.8,IMU,65965270,0,0.000911941,0.000932544,0.000914381,-0.000341218,-0.001482163,-9.817921,0,0,28.84501,1,1,1000,1000
2533,25:14.8,IMU,66005254,0,0.000941995,0.000912577,0.000844596,-0.001003407,-0.001475006,-9.816901,0,0,28.84716,1,1,1000,1000
2630,25:14.9,IMU,66045238,0,0.000823371,0.000955193,0.000926626,-0.00165078,-0.000249336,-9.817495,0,0,28.84932,1,1,1000,1000
2681,25:14.9,IMU,66085222,0,0.000908404,0.000949732,0.000912432,-0.001278298,-0.002614901,-9.818682,0,0,28.85142,1,1,1000,1000
2734,25:14.9,IMU,66125206,0,0.000943338,0.000859227,0.000908264,-0.00044483,-0.000974012,-9.816919,0,0,28.85357,1,1,1000,1000
2831,25:15.0,IMU,66165190,0,0.00088483,0.000951348,0.000962599,-0.001028489,-0.001514926,-9.817533,0,0,28.85572,1,1,1000,1000
2886,25:15.0,IMU,66205174,0,0.000919382,0.000961355,0.000942773,-0.001257391,-0.000762869,-9.818627,0,0,28.85788,1,1,1000,1000
2980,25:15.1,IMU,66245158,0,0.000925263,0.000920739,0.000996372,-0.000421381,-0.001326644,-9.817919,0,0,28.86003,1,1,1000,1000
3030,25:15.1,IMU,66285142,0,0.000906544,0.000916059,0.000971443,-0.001373877,-0.001206823,-9.817187,0,0,28.86218,1,1,1000,1000
3083,25:15.1,IMU,66325126,0,0.000904956,0.000927027,0.000945421,-0.001085606,-0.000479439,-9.817383,0,0,28.86433,1,1,1000,1000
3177,25:15.2,IMU,66365110,0,0.000956297,0.000933141,0.000876877,-0.000803149,-0.001727389,-9.817407,0,0,28.86648,1,1,1000,1000
3231,25:15.2,IMU,66405094,0,0.000993221,0.000924747,0.000939896,-0.000792131,-0.000937562,-9.817413,0,0,28.86863,1,1,1000,1000
3327,25:15.3,IMU,66445078,0,0.000912949,0.00090468,0.0009508,-0.00042122,-0.002078401,-9.817936,0,0,28.87078,1,1,1000,1000
3380,25:15.3,IMU,66485062,0,0.000933598,0.000905182,0.000893694,-0.001897303,-0.000886485,-9.817626,0,0,28.87299,1,1,1000,1000
3433,25:15.3,IMU,66525046,0,0.000928858,0.000874157,0.000939286,-0.001218908,-0.001526948,-9.817975,0,0,28.87514,1,1,1000,1000
3530,25:15.4,IMU,66565030,0,0.000968535,0.000983069,0.000924876,-0.000401201,-0.00086539,-9.8173,0,0,28.87729,1,1,1000,1000
3587,25:15.4,IMU,66605014,0,0.000960686,0.00088944,0.000900321,-0.00103683,-0.000988251,-9.817203,0,0,28.87944,1,1,1000,1000
3681,25:15.5,IMU,66644998,0,0.001002696,0.000973621,0.000961893,-0.000846708,-0.0007185,-9.818369,0,0,28.88153,1,1,1000,1000
3732,25:15.5,IMU,66684982,0,0.000964063,0.000996804,0.00091126,-0.001223831,-0.001027661,-9.817644,0,0,28.88368,1,1,1000,1000
3785,25:15.5,IMU,66724966,0,0.000840045,0.000940916,0.000956068,-0.001382723,-0.001020489,-9.81848,0,0,28.88583,1,1,1000,1000
3883,25:15.6,IMU,66764950,0,0.000909549,0.00091253,0.00099718,-0.002051013,-0.001649236,-9.817276,0,0,28.88798,1,1,1000,1000
3938,25:15.6,IMU,66804934,0,0.000907076,0.000989208,0.000886212,-0.000808999,-0.000636414,-9.81708,0,0,28.89013,1,1,1000,1000
4033,25:15.7,IMU,66844918,0,0.00092348,0.000937494,0.000964716,-0.000475855,-0.001521689,-9.816664,0,0,28.89227,1,1,1000,1000
4085,25:15.7,IMU,66884902,0,0.000955574,0.000909599,0.000900814,-0.000482407,-0.000423519,-9.816527,0,0,28.89442,1,1,1000,1000
4138,25:15.7,IMU,66924886,0,0.00100846,0.001011667,0.000980552,-0.000129063,-0.001359074,-9.81664,0,0,28.89657,1,1,1000,1000
4233,25:15.8,IMU,66964870,0,0.000946222,0.001004212,0.000929572,-0.000731153,-0.000691444,-9.816357,0,0,28.89872,1,1,1000,1000
4288,25:15.8,IMU,67004854,0,0.000979883,0.000950093,0.001035983,-0.000916744,-0.000989612,-9.817087,0,0,28.90086,1,1,1000,1000
4383,25:15.9,IMU,67044838,0,0.000915393,0.000917921,0.000945874,-0.001182605,-0.000222079,-9.81918,0,0,28.90301,1,1,1000,1000
4436,25:15.9,IMU,67084822,0,0.000921976,0.00089016,0.000977058,-0.000225728,-0.000322425,-9.816875,0,0,28.90516,1,1,1000,1000
4489,25:15.9,IMU,67124806,0,0.000968254,0.000935141,0.001002396,-5.17e-05,-0.000854204,-9.818775,0,0,28.9073,1,1,1000,1000
4584,25:16.0,IMU,67164790,0,0.000866497,0.000916557,0.000832464,-0.000545989,-0.000956885,-9.817266,0,0,28.90945,1,1,1000,1000
4639,25:16.0,IMU,67204774,0,0.000870067,0.000999607,0.000880132,-0.000587055,-0.000520355,-9.816792,0,0,28.91159,1,1,1000,1000
4733,25:16.1,IMU,67244758,0,0.000881513,0.000979096,0.000913122,-0.000301357,-0.000948454,-9.817811,0,0,28.91374,1,1,1000,1000
4785,25:16.1,IMU,67284742,0,0.00097706,0.000908139,0.000946707,-0.000423702,-0.00094091,-9.817225,0,0,28.91588,1,1,1000,1000
4838,25:16.1,IMU,67324726,0,0.000968133,0.000951981,0.00090591,-0.00057151,-0.000227361,-9.816891,0,0,28.91803,1,1,1000,1000
4933,25:16.2,IMU,67364710,0,0.000973344,0.000989751,0.000904824,-0.000802691,-0.000780989,-9.817361,0,0,28.92017,1,1,1000,1000
4988,25:16.2,IMU,67404694,0,0.000975252,0.000963286,0.000970177,-0.001406818,2.698663e-05,-9.81708,0,0,28.92232,1,1,1000,1000
5084,25:16.3,IMU,67444678,0,0.00089938,0.000923718,0.000913586,-0.000907683,-9.47e-05,-9.816639,0,0,28.92446,1,1,1000,1000
5138,25:16.3,IMU,67484662,0,0.000909813,0.000873182,0.000900255,3.199348e-05,-0.000638509,-9.817449,0,0,28.9266,1,1,1000,1000
