Timestamp,SrcPort,DstPort,Length,MsgID,Protocol,Label
1768240487989611,57568,14550,48.0,163,0,0
1768240487991062,57568,14550,44.0,178,0,0
1768240487991733,57568,14550,48.0,30,0,0
1768240487992222,57568,14550,48.0,33,0,0
1768240487992695,57568,14550,38.0,74,0,0
1768240487993839,57568,14550,51.0,1,0,0
1768240487995066,57568,14550,22.0,125,0,0
1768240487995772,57568,14550,27.0,152,0,0
1768240487996213,57568,14550,42.0,62,0,0
1768240487996845,57568,14550,25.0,42,0,0
1768240487997363,57568,14550,32.0,36,0,0
1768240487997668,57568,14550,62.0,65,0,0
1768240487997980,57568,14550,49.0,27,0,0
1768240487998302,57568,14550,44.0,116,0,0
1768240487998771,57568,14550,42.0,129,0,0
1768240487999230,57568,14550,34.0,29,0,0
1768240487999651,57568,14550,34.0,137,0,0
1768240488000273,57568,14550,60.0,24,0,0
1768240488000766,57568,14550,53.0,124,0,0
1768240488001365,57568,14550,30.0,2,0,0
1768240488001806,57568,14550,64.0,164,0,0
1768240488002125,57568,14550,41.0,136,0,0
1768240488002599,57568,14550,41.0,193,0,0
1768240488003059,57568,14550,40.0,241,0,0
1768240488003451,57568,14550,61.0,147,0,0
1768240488003714,57568,14550,64.0,11030,0,0
1768240488238463,57568,14550,46.0,264,0,0
1768240488239533,57568,14550,48.0,163,0,0
1768240488240419,57568,14550,44.0,178,0,0
1768240488240856,57568,14550,48.0,30,0,0
1768240488241816,57568,14550,48.0,33,0,0
1768240488242416,57568,14550,38.0,74,0,0
1768240488243734,57568,14550,51.0,1,0,0
1768240488244838,57568,14550,22.0,125,0,0
1768240488245365,57568,14550,27.0,152,0,0
1768240488245830,57568,14550,42.0,62,0,0
1768240488246696,57568,14550,25.0,42,0,0
1768240488247308,57568,14550,32.0,36,0,0
1768240488247937,57568,14550,62.0,65,0,0
1768240488248615,57568,14550,49.0,27,0,0
1768240488249332,57568,14550,44.0,116,0,0
1768240488249738,57568,14550,42.0,129,0,0
1768240488250400,57568,14550,34.0,29,0,0
1768240488250962,57568,14550,34.0,137,0,0
1768240488251404,57568,14550,60.0,24,0,0
1768240488252016,57568,14550,53.0,124,0,0
1768240488252767,57568,14550,30.0,2,0,0
1768240488253075,57568,14550,64.0,164,0,0
1768240488253639,57568,14550,42.0,136,0,0
1768240488253968,57568,14550,41.0,193,0,0
1768240488255086,57568,14550,40.0,241,0,0
1768240488255561,57568,14550,61.0,147,0,0
1768240488256146,57568,14550,64.0,11030,0,0
1768240488489472,57568,14550,48.0,163,0,0
1768240488490406,57568,14550,44.0,178,0,0
1768240488490700,57568,14550,48.0,30,0,0
1768240488491190,57568,14550,48.0,33,0,0
1768240488491622,57568,14550,38.0,74,0,0
1768240488492253,57568,14550,51.0,1,0,0
1768240488493090,57568,14550,22.0,125,0,0
1768240488493416,57568,14550,27.0,152,0,0
1768240488493696,57568,14550,42.0,62,0,0
1768240488494195,57568,14550,25.0,42,0,0
1768240488494681,57568,14550,32.0,36,0,0
1768240488495016,57568,14550,62.0,65,0,0
1768240488495390,57568,14550,49.0,27,0,0
1768240488495766,57568,14550,44.0,116,0,0
1768240488496149,57568,14550,42.0,129,0,0
1768240488496586,57568,14550,34.0,29,0,0
1768240488496884,57568,14550,34.0,137,0,0
1768240488497193,57568,14550,60.0,24,0,0
1768240488497634,57568,14550,53.0,124,0,0
1768240488498000,57568,14550,30.0,2,0,0
1768240488498389,57568,14550,64.0,164,0,0
1768240488498826,57568,14550,42.0,136,0,0
1768240488499112,57568,14550,41.0,193,0,0
1768240488499429,57568,14550,40.0,241,0,0
1768240488499737,57568,14550,61.0,147,0,0
1768240488500028,57568,14550,64.0,11030,0,0
1768240488519717,5760,61016,,0,1,0
1768240488520468,57568,14550,29.0,0,0,0
1768240488741551,57568,14550,46.0,264,0,0
1768240488745552,57568,14550,48.0,163,0,0
1768240488747919,57568,14550,44.0,178,0,0
1768240488750291,57568,14550,48.0,30,0,0
1768240488751867,57568,14550,48.0,33,0,0
1768240488753113,57568,14550,38.0,74,0,0
1768240488756515,57568,14550,51.0,1,0,0
1768240488759165,57568,14550,22.0,125,0,0
1768240488760372,57568,14550,27.0,152,0,0
1768240488761288,57568,14550,42.0,62,0,0
1768240488763253,57568,14550,25.0,42,0,0
1768240488764665,57568,14550,32.0,36,0,0
1768240488765465,57568,14550,62.0,65,0,0
1768240488766182,57568,14550,49.0,27,0,0
1768240488766797,57568,14550,44.0,116,0,0
1768240488767653,57568,14550,42.0,129,0,0
1768240488768250,57568,14550,34.0,29,0,0
1768240488768770,57568,14550,34.0,137,0,0
1768240488769288,57568,14550,60.0,24,0,0
1768240488769991,57568,14550,53.0,124,0,0
1768240488771007,57568,14550,30.0,2,0,0
1768240488771560,57568,14550,64.0,164,0,0
1768240488772365,57568,14550,42.0,136,0,0
1768240488773083,57568,14550,41.0,193,0,0
1768240488773594,57568,14550,40.0,241,0,0
1768240488774114,57568,14550,61.0,147,0,0
1768240488774607,57568,14550,64.0,11030,0,0
1768240488775139,61016,5760,,0,1,0
1768240488993326,57568,14550,48.0,163,0,0
1768240488994281,57568,14550,44.0,178,0,0
1768240488995041,57568,14550,48.0,30,0,0
1768240488995473,57568,14550,48.0,33,0,0
1768240488995796,57568,14550,38.0,74,0,0
1768240488996973,57568,14550,51.0,1,0,0
1768240488998853,57568,14550,22.0,125,0,0
1768240489000051,57568,14550,27.0,152,0,0
1768240489000353,57568,14550,42.0,62,0,0
1768240489000946,57568,14550,25.0,42,0,0
1768240489001394,57568,14550,32.0,36,0,0
1768240489002004,57568,14550,62.0,65,0,0
1768240489002527,57568,14550,49.0,27,0,0
1768240489002849,57568,14550,44.0,116,0,0
1768240489003239,57568,14550,42.0,129,0,0
1768240489003752,57568,14550,34.0,29,0,0
1768240489004100,57568,14550,34.0,137,0,0
1768240489004755,57568,14550,60.0,24,0,0
1768240489005778,57568,14550,53.0,124,0,0
1768240489006519,57568,14550,30.0,2,0,0
1768240489007336,57568,14550,64.0,164,0,0
1768240489007726,57568,14550,42.0,136,0,0
1768240489008147,57568,14550,41.0,193,0,0
1768240489008706,57568,14550,40.0,241,0,0
1768240489008994,57568,14550,61.0,147,0,0
1768240489009288,57568,14550,64.0,11030,0,0
1768240489240680,57568,14550,46.0,264,0,0
1768240489241601,57568,14550,48.0,163,0,0
1768240489242548,57568,14550,44.0,178,0,0
1768240489243317,57568,14550,48.0,30,0,0
1768240489243938,57568,14550,48.0,33,0,0
1768240489244350,57568,14550,38.0,74,0,0
1768240489245166,57568,14550,51.0,1,0,0
1768240489246103,57568,14550,22.0,125,0,0
1768240489246569,57568,14550,27.0,152,0,0
