,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1870,55:20.6,GPS,44805404,0,6,168938600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
2195,55:20.8,GPS,44985332,0,6,168938800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
2544,55:21.0,GPS,45185252,0,6,168939000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
2895,55:21.2,GPS,45385172,0,6,168939200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
3248,55:21.4,GPS,45585092,0,6,168939400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
3594,55:21.6,GPS,45785012,0,6,168939600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
3942,55:21.8,GPS,45984932,0,6,168939800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
4292,55:22.0,GPS,46184852,0,6,168940000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
4643,55:22.2,GPS,46384772,0,6,168940200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
4997,55:22.4,GPS,46584692,0,6,168940400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
5146,55:22.5,GPS,46664660,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
5346,55:22.6,GPS,46784612,0,6,168940600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
5696,55:22.8,GPS,46985365,0,6,168940800,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
6046,55:23.0,GPS,47185285,0,6,168941000,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
6395,55:23.2,GPS,47385205,0,6,168941200,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
6750,55:23.4,GPS,47585125,0,6,168941400,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8629,0,0,1
7098,55:23.6,GPS,47785045,0,6,168941600,2401,10,1.21,-35.3632621,149.1652374,584.09,0,353.8628,0,0,1
