,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1872,55:20.6,IMU,44805404,0,0.000625094,0.000635031,0.000657777,-0.001333293,-0.001545984,-9.817468,0,0,27.6644,1,1,1000,1000
1873,55:20.6,IMU,44805404,1,0.000466721,0.000470573,0.000624961,-0.001478926,-0.00072453,-9.816201,0,0,27.66434,1,1,760,800
1969,55:20.6,IMU,44845388,0,0.000604721,0.000612637,0.000632309,-0.000109841,-0.000743433,-9.815765,0,0,27.66671,1,1,1000,1000
1970,55:20.6,IMU,44845388,1,0.000682181,0.000490917,0.000725707,-0.000666448,-0.000533193,-9.816121,0,0,27.66665,1,1,760,800
2021,55:20.7,IMU,44885372,0,0.000675931,0.000591888,0.000713256,-0.000952018,-0.000918481,-9.81632,0,0,27.66902,1,1,1000,1000
2022,55:20.7,IMU,44885372,1,0.000721303,0.000544602,0.000626998,-0.002298919,-0.000655593,-9.819014,0,0,27.66896,1,1,760,800
2074,55:20.7,IMU,44925356,0,0.000631607,0.0005657,0.00060859,-0.000658516,-0.00092735,-9.81753,0,0,27.67133,1,1,1000,1000
2075,55:20.7,IMU,44925356,1,0.00081145,0.000500355,0.000940085,0.001454891,-0.001534562,-9.820333,0,0,27.67127,1,1,760,800
2168,55:20.8,IMU,44965340,0,0.00060167,0.000660412,0.000613454,-0.000911965,-0.00097915,-9.818225,0,0,27.67364,1,1,1000,1000
2169,55:20.8,IMU,44965340,1,0.000745521,0.000639631,0.000644501,-0.001379297,-0.000515489,-9.816464,0,0,27.67358,1,1,760,800
2223,55:20.8,IMU,45005324,0,0.00062117,0.000613501,0.000723728,-0.001569872,-0.001615891,-9.81701,0,0,27.67595,1,1,1000,1000
2224,55:20.8,IMU,45005324,1,0.000656167,0.000527684,0.000762891,-0.003725507,-0.000271754,-9.819147,0,0,27.67589,1,1,760,800
2320,55:20.8,IMU,45045308,0,0.000543415,0.00068731,0.000608776,-0.000621478,-2.96E-05,-9.817985,0,0,27.67826,1,1,1000,1000
2321,55:20.8,IMU,45045308,1,0.000678715,0.000861076,0.000846398,-0.003149849,-0.001242577,-9.81685,0,0,27.6782,1,1,760,800
